	BbigeminaBOND	BbovisT2Bo	BmicrotiRI	Candersoni30847	Ccayetanensis	CfelisWinnie	ChominisTU502	CmurisRN66	CparvumIowaII	Cubiquitum39726	CveliaCCMP2878	EacervulinaHoughton	EfalciformisB	EmaximaW	EmitisH	EnecatrixH	EtenellaH	GniphandrodesUnknown	HhammondiH	NcaninumL	PbergheiANKA	Pchabaudichabaudi	PcoatneyiHackeri	PcynomolgiB	Pfalciparum3D7	PfragileNilgiri	PgaboniSY75	Pgallinaceum8A	PinuiSanAntonio1	PknowlesiH	PmalariaeUG01	PovalecurtisiGH01	PreichenowiCDC	PrelictumSGS1	PvinckeipetteriCR	PvivaxSal1	Pyoeliiyoelii17X	SneuronaSN3	TannulataAnkara	TgondiiVEG	TorientalisShintoku	TparvaMuguga	VbrassicaformisCCMP3155
OG0023777											Cvel_4844.t1-p1																																
OG0023778											Cvel_4845.t1-p1																																
OG0023779											Cvel_4846.t1-p1																																
OG0023780											Cvel_4850.t1-p1																																
OG0023781											Cvel_22312.t1-p1																																
OG0023782											Cvel_22313.t1-p1																																
OG0023783											Cvel_22315.t1-p1																																
OG0023784											Cvel_22318.t1-p1																																
OG0023785											Cvel_22320.t1-p1																																
OG0023786											Cvel_22321.t1-p1																																
OG0023787											Cvel_22322.t1-p1																																
OG0023788											Cvel_22323.t1-p1																																
OG0023789											Cvel_22326.t1-p1																																
OG0023790											Cvel_22328.t1-p1																																
OG0023791											Cvel_22332.t1-p1																																
OG0023792											Cvel_22334.t1-p1																																
OG0023793											Cvel_22340.t1-p1																																
OG0023794											Cvel_22341.t1-p1																																
OG0023795											Cvel_22341.t2-p1																																
OG0023796											Cvel_22342.t1-p1																																
OG0023797											Cvel_22344.t1-p1																																
OG0023798											Cvel_22345.t1-p1																																
OG0023799											Cvel_4853.t1-p1																																
OG0023800											Cvel_4854.t1-p1																																
OG0023801											Cvel_4854.t2-p1																																
OG0023802											Cvel_4855.t1-p1																																
OG0023803											Cvel_4856.t1-p1																																
OG0023804											Cvel_4857.t1-p1																																
OG0023805											Cvel_4858.t1-p1																																
OG0023806											Cvel_4862.t1-p1																																
OG0023807											Cvel_4869.t1-p1																																
OG0023808											Cvel_4870.t1-p1																																
OG0023809											Cvel_22359.t1-p1																																
OG0023810											Cvel_22360.t1-p1																																
OG0023811											Cvel_22361.t1-p1																																
OG0023812											Cvel_22366.t1-p1																																
OG0023813											Cvel_22368.t1-p1																																
OG0023814											Cvel_22371.t1-p1																																
OG0023815											Cvel_22374.t1-p1																																
OG0023816											Cvel_22376.t1-p1																																
OG0023817											Cvel_22377.t1-p1																																
OG0023818											Cvel_22380.t1-p1																																
OG0023819											Cvel_22381.t1-p1																																
OG0023820											Cvel_22382.t1-p1																																
OG0023821											Cvel_22384.t1-p1																																
OG0023822											Cvel_22386.t1-p1																																
OG0023823											Cvel_22389.t1-p1																																
OG0023824											Cvel_22391.t1-p1																																
OG0023825											Cvel_22394.t1-p1																																
OG0023826											Cvel_22395.t1-p1																																
OG0023827											Cvel_22396.t1-p1																																
OG0023828											Cvel_22397.t1-p1																																
OG0023829											Cvel_22398.t1-p1																																
OG0023830											Cvel_22399.t1-p1																																
OG0023831											Cvel_22400.t1-p1																																
OG0023832											Cvel_22401.t1-p1																																
OG0023833											Cvel_22402.t1-p1																																
OG0023834											Cvel_22403.t1-p1																																
OG0023835											Cvel_22405.t1-p1																																
OG0023836											Cvel_22406.t1-p1																																
OG0023837											Cvel_22409.t1-p1																																
OG0023838											Cvel_22413.t1-p1																																
OG0023839											Cvel_22413.t2-p1																																
OG0023840											Cvel_22414.t1-p1																																
OG0023841											Cvel_701.t1-p1																																
OG0023842											Cvel_703.t1-p1																																
OG0023843											Cvel_704.t1-p1																																
OG0023844											Cvel_708.t1-p1																																
OG0023845											Cvel_709.t1-p1																																
OG0023846											Cvel_710.t1-p1																																
OG0023847											Cvel_711.t1-p1																																
OG0023848											Cvel_712.t1-p1																																
OG0023849											Cvel_714.t1-p1																																
OG0023850											Cvel_715.t1-p1																																
OG0023851											Cvel_717.t1-p1																																
OG0023852											Cvel_719.t1-p1																																
OG0023853											Cvel_722.t1-p1																																
OG0023854											Cvel_723.t1-p1																																
OG0023855											Cvel_727.t1-p1																																
OG0023856											Cvel_731.t1-p1																																
OG0023857											Cvel_4872.t1-p1																																
OG0023858											Cvel_4873.t1-p1																																
OG0023859											Cvel_4877.t1-p1																																
OG0023860											Cvel_4878.t1-p1																																
OG0023861											Cvel_4880.t1-p1																																
OG0023862											Cvel_4881.t1-p1																																
OG0023863											Cvel_4882.t1-p1																																
OG0023864											Cvel_4883.t1-p1																																
OG0023865											Cvel_4884.t1-p1																																
OG0023866											Cvel_4886.t1-p1																																
OG0023867											Cvel_4890.t1-p1																																
OG0023868											Cvel_4892.t1-p1																																
OG0023869											Cvel_4893.t1-p1																																
OG0023870											Cvel_4894.t1-p1																																
OG0023871											Cvel_4895.t1-p1																																
OG0023872											Cvel_22418.t1-p1																																
OG0023873											Cvel_22423.t1-p1																																
OG0023874											Cvel_22426.t1-p1																																
OG0023875											Cvel_22427.t1-p1																																
OG0023876											Cvel_22428.t1-p1																																
OG0023877											Cvel_22429.t1-p1																																
OG0023878											Cvel_22431.t1-p1																																
OG0023879											Cvel_22432.t1-p1																																
OG0023880											Cvel_22434.t1-p1																																
OG0023881											Cvel_22437.t1-p1																																
OG0023882											Cvel_22439.t1-p1																																
OG0023883											Cvel_22443.t1-p1																																
OG0023884											Cvel_22445.t1-p1																																
OG0023885											Cvel_22447.t1-p1																																
OG0023886											Cvel_22448.t1-p1																																
OG0023887											Cvel_22449.t1-p1																																
OG0023888											Cvel_22454.t1-p1																																
OG0023889											Cvel_22458.t1-p1																																
OG0023890											Cvel_22460.t1-p1																																
OG0023891											Cvel_22462.t1-p1																																
OG0023892											Cvel_4897.t1-p1																																
OG0023893											Cvel_4898.t1-p1																																
OG0023894											Cvel_4899.t1-p1																																
OG0023895											Cvel_4899.t2-p1																																
OG0023896											Cvel_4899.t3-p1																																
OG0023897											Cvel_4907.t1-p1																																
OG0023898											Cvel_4908.t1-p1																																
OG0023899											Cvel_4909.t1-p1																																
OG0023900											Cvel_4910.t1-p1																																
OG0023901											Cvel_4912.t1-p1																																
OG0023902											Cvel_4913.t1-p1																																
OG0023903											Cvel_4914.t1-p1																																
OG0023904											Cvel_4915.t1-p1																																
OG0023905											Cvel_4916.t1-p1																																
OG0023906											Cvel_4917.t1-p1																																
OG0023907											Cvel_4918.t1-p1																																
OG0023908											Cvel_22469.t1-p1																																
OG0023909											Cvel_22471.t1-p1																																
OG0023910											Cvel_22472.t1-p1																																
OG0023911											Cvel_22473.t1-p1																																
OG0023912											Cvel_22473.t2-p1																																
OG0023913											Cvel_22480.t1-p1																																
OG0023914											Cvel_22482.t1-p1																																
OG0023915											Cvel_22485.t1-p1																																
OG0023916											Cvel_22486.t1-p1																																
OG0023917											Cvel_22487.t1-p1																																
OG0023918											Cvel_22490.t1-p1																																
OG0023919											Cvel_22491.t1-p1																																
OG0023920											Cvel_22494.t1-p1																																
OG0023921											Cvel_22495.t1-p1																																
OG0023922											Cvel_22509.t1-p1																																
OG0023923											Cvel_4919.t1-p1																																
OG0023924											Cvel_4926.t1-p1																																
OG0023925											Cvel_4928.t1-p1																																
OG0023926											Cvel_22512.t1-p1																																
OG0023927											Cvel_22515.t1-p1																																
OG0023928											Cvel_22520.t1-p1																																
OG0023929											Cvel_22521.t1-p1																																
OG0023930											Cvel_22523.t1-p1																																
OG0023931											Cvel_22524.t1-p1																																
OG0023932											Cvel_22527.t1-p1																																
OG0023933											Cvel_22528.t1-p1																																
OG0023934											Cvel_22533.t1-p1																																
OG0023935											Cvel_22535.t1-p1																																
OG0023936											Cvel_22537.t1-p1																																
OG0023937											Cvel_22538.t1-p1																																
OG0023938											Cvel_22539.t1-p1																																
OG0023939											Cvel_22540.t1-p1																																
OG0023940											Cvel_22541.t1-p1																																
OG0023941											Cvel_22547.t1-p1																																
OG0023942											Cvel_22550.t1-p1																																
OG0023943											Cvel_22552.t1-p1																																
OG0023944											Cvel_22553.t1-p1																																
OG0023945											Cvel_22556.t1-p1																																
OG0023946											Cvel_22557.t1-p1																																
OG0023947											Cvel_22558.t1-p1																																
OG0023948											Cvel_22561.t1-p1																																
OG0023949											Cvel_22563.t1-p1																																
OG0023950											Cvel_22564.t1-p1																																
OG0023951											Cvel_22565.t1-p1																																
OG0023952											Cvel_4936.t1-p1																																
OG0023953											Cvel_4938.t1-p1																																
OG0023954											Cvel_4939.t1-p1																																
OG0023955											Cvel_4940.t1-p1																																
OG0023956											Cvel_4941.t1-p1																																
OG0023957											Cvel_4943.t1-p1																																
OG0023958											Cvel_4944.t1-p1																																
OG0023959											Cvel_4947.t1-p1																																
OG0023960											Cvel_22566.t1-p1																																
OG0023961											Cvel_22567.t1-p1																																
OG0023962											Cvel_22570.t1-p1																																
OG0023963											Cvel_22571.t1-p1																																
OG0023964											Cvel_22573.t1-p1																																
OG0023965											Cvel_22575.t1-p1																																
OG0023966											Cvel_22576.t1-p1																																
OG0023967											Cvel_22581.t1-p1																																
OG0023968											Cvel_22582.t2-p1																																
OG0023969											Cvel_22585.t1-p1																																
OG0023970											Cvel_22586.t1-p1																																
OG0023971											Cvel_22588.t1-p1																																
OG0023972											Cvel_22590.t1-p1																																
OG0023973											Cvel_22592.t1-p1																																
OG0023974											Cvel_22594.t1-p1																																
OG0023975											Cvel_22595.t1-p1																																
OG0023976											Cvel_22596.t1-p1																																
OG0023977											Cvel_22598.t1-p1																																
OG0023978											Cvel_22599.t1-p1																																
OG0023979											Cvel_22600.t1-p1																																
OG0023980											Cvel_22603.t1-p1																																
OG0023981											Cvel_22609.t1-p1																																
OG0023982											Cvel_22612.t1-p1																																
OG0023983											Cvel_4950.t1-p1																																
OG0023984											Cvel_4951.t1-p1																																
OG0023985											Cvel_4952.t1-p1																																
OG0023986											Cvel_4953.t1-p1																																
OG0023987											Cvel_4954.t1-p1																																
OG0023988											Cvel_4955.t1-p1																																
OG0023989											Cvel_4957.t1-p1																																
OG0023990											Cvel_4959.t1-p1																																
OG0023991											Cvel_4960.t1-p1																																
OG0023992											Cvel_4961.t1-p1																																
OG0023993											Cvel_4962.t1-p1																																
OG0023994											Cvel_4963.t1-p1																																
OG0023995											Cvel_4964.t1-p1																																
OG0023996											Cvel_4966.t1-p1																																
OG0023997											Cvel_4967.t1-p1																																
OG0023998											Cvel_4968.t1-p1																																
OG0023999											Cvel_4969.t1-p1																																
OG0024000											Cvel_4970.t1-p1																																
OG0024001											Cvel_22617.t1-p1																																
OG0024002											Cvel_22619.t1-p1																																
OG0024003											Cvel_22619.t2-p1																																
OG0024004											Cvel_22620.t1-p1																																
OG0024005											Cvel_22628.t1-p1																																
OG0024006											Cvel_22630.t1-p1																																
OG0024007											Cvel_22634.t1-p1																																
OG0024008											Cvel_22635.t1-p1																																
OG0024009											Cvel_22636.t1-p1																																
OG0024010											Cvel_22637.t1-p1																																
OG0024011											Cvel_22639.t1-p1																																
OG0024012											Cvel_22641.t1-p1																																
OG0024013											Cvel_22645.t1-p1																																
OG0024014											Cvel_22646.t1-p1																																
OG0024015											Cvel_22647.t1-p1																																
OG0024016											Cvel_22649.t2-p1																																
OG0024017											Cvel_4971.t1-p1																																
OG0024018											Cvel_4972.t1-p1																																
OG0024019											Cvel_4973.t1-p1																																
OG0024020											Cvel_4974.t1-p1																																
OG0024021											Cvel_4975.t1-p1																																
OG0024022											Cvel_4977.t1-p1																																
OG0024023											Cvel_4980.t1-p1																																
OG0024024											Cvel_4982.t1-p1																																
OG0024025											Cvel_4983.t1-p1																																
OG0024026											Cvel_4987.t1-p1																																
OG0024027											Cvel_4988.t1-p1																																
OG0024028											Cvel_4989.t1-p1																																
OG0024029											Cvel_22651.t1-p1																																
OG0024030											Cvel_22652.t1-p1																																
OG0024031											Cvel_22654.t1-p1																																
OG0024032											Cvel_22660.t1-p1																																
OG0024033											Cvel_22666.t1-p1																																
OG0024034											Cvel_22671.t1-p1																																
OG0024035											Cvel_22672.t1-p1																																
OG0024036											Cvel_22675.t1-p1																																
OG0024037											Cvel_22682.t1-p1																																
OG0024038											Cvel_22689.t1-p1																																
OG0024039											Cvel_22690.t1-p1																																
OG0024040											Cvel_22692.t1-p1																																
OG0024041											Cvel_22693.t1-p1																																
OG0024042											Cvel_4990.t2-p1																																
OG0024043											Cvel_4995.t1-p1																																
OG0024044											Cvel_4996.t1-p1																																
OG0024045											Cvel_4997.t1-p1																																
OG0024046											Cvel_4998.t1-p1																																
OG0024047											Cvel_5000.t1-p1																																
OG0024048											Cvel_5002.t1-p1																																
OG0024049											Cvel_5004.t1-p1																																
OG0024050											Cvel_22696.t1-p1																																
OG0024051											Cvel_22698.t1-p1																																
OG0024052											Cvel_22699.t1-p1																																
OG0024053											Cvel_22700.t1-p1																																
OG0024054											Cvel_22702.t1-p1																																
OG0024055											Cvel_22703.t1-p1																																
OG0024056											Cvel_22705.t1-p1																																
OG0024057											Cvel_22707.t1-p1																																
OG0024058											Cvel_22709.t1-p1																																
OG0024059											Cvel_22710.t1-p1																																
OG0024060											Cvel_22711.t1-p1																																
OG0024061											Cvel_22713.t1-p1																																
OG0024062											Cvel_22714.t1-p1																																
OG0024063											Cvel_22715.t1-p1																																
OG0024064											Cvel_22720.t1-p1																																
OG0024065											Cvel_22723.t1-p1																																
OG0024066											Cvel_22724.t1-p1																																
OG0024067											Cvel_22725.t1-p1																																
OG0024068											Cvel_22726.t1-p1																																
OG0024069											Cvel_22727.t1-p1																																
OG0024070											Cvel_22728.t1-p1																																
OG0024071											Cvel_22729.t1-p1																																
OG0024072											Cvel_22730.t1-p1																																
OG0024073											Cvel_22730.t2-p1																																
OG0024074											Cvel_22731.t1-p1																																
OG0024075											Cvel_22733.t1-p1																																
OG0024076											Cvel_22734.t1-p1																																
OG0024077											Cvel_22735.t1-p1																																
OG0024078											Cvel_22737.t1-p1																																
OG0024079											Cvel_22738.t1-p1																																
OG0024080											Cvel_22739.t1-p1																																
OG0024081											Cvel_22741.t1-p1																																
OG0024082											Cvel_22742.t1-p1																																
OG0024083											Cvel_22743.t1-p1																																
OG0024084											Cvel_22744.t1-p1																																
OG0024085											Cvel_22745.t1-p1																																
OG0024086											Cvel_22747.t1-p1																																
OG0024087											Cvel_5005.t1-p1																																
OG0024088											Cvel_5010.t1-p1																																
OG0024089											Cvel_22749.t1-p1																																
OG0024090											Cvel_22751.t1-p1																																
OG0024091											Cvel_22752.t1-p1																																
OG0024092											Cvel_22752.t2-p1																																
OG0024093											Cvel_22755.t1-p1																																
OG0024094											Cvel_22758.t1-p1																																
OG0024095											Cvel_22761.t1-p1																																
OG0024096											Cvel_22764.t1-p1																																
OG0024097											Cvel_22766.t1-p1																																
OG0024098											Cvel_22767.t1-p1																																
OG0024099											Cvel_22768.t1-p1																																
OG0024100											Cvel_22771.t1-p1																																
OG0024101											Cvel_22772.t1-p1																																
OG0024102											Cvel_22776.t1-p1																																
OG0024103											Cvel_22778.t1-p1																																
OG0024104											Cvel_22781.t1-p1																																
OG0024105											Cvel_22785.t1-p1																																
OG0024106											Cvel_22790.t1-p1																																
OG0024107											Cvel_5016.t1-p1																																
OG0024108											Cvel_5017.t1-p1																																
OG0024109											Cvel_5019.t1-p1																																
OG0024110											Cvel_5019.t2-p1																																
OG0024111											Cvel_5020.t1-p1																																
OG0024112											Cvel_5023.t1-p1																																
OG0024113											Cvel_5027.t1-p1																																
OG0024114											Cvel_5027.t2-p1																																
OG0024115											Cvel_22791.t1-p1																																
OG0024116											Cvel_22792.t1-p1																																
OG0024117											Cvel_22793.t1-p1																																
OG0024118											Cvel_22796.t1-p1																																
OG0024119											Cvel_22800.t1-p1																																
OG0024120											Cvel_22801.t1-p1																																
OG0024121											Cvel_22803.t1-p1																																
OG0024122											Cvel_22804.t1-p1																																
OG0024123											Cvel_22807.t1-p1																																
OG0024124											Cvel_22811.t1-p1																																
OG0024125											Cvel_22813.t1-p1																																
OG0024126											Cvel_22815.t1-p1																																
OG0024127											Cvel_22816.t1-p1																																
OG0024128											Cvel_22820.t1-p1																																
OG0024129											Cvel_22822.t1-p1																																
OG0024130											Cvel_22827.t1-p1																																
OG0024131											Cvel_22828.t1-p1																																
OG0024132											Cvel_22828.t2-p1																																
OG0024133											Cvel_22828.t3-p1																																
OG0024134											Cvel_22830.t1-p1																																
OG0024135											Cvel_22831.t1-p1																																
OG0024136											Cvel_22832.t1-p1																																
OG0024137											Cvel_22833.t1-p1																																
OG0024138											Cvel_22834.t1-p1																																
OG0024139											Cvel_22835.t1-p1																																
OG0024140											Cvel_22837.t1-p1																																
OG0024141											Cvel_22840.t1-p1																																
OG0024142											Cvel_22841.t1-p1																																
OG0024143											Cvel_22842.t1-p1																																
OG0024144											Cvel_5029.t1-p1																																
OG0024145											Cvel_5030.t1-p1																																
OG0024146											Cvel_5033.t1-p1																																
OG0024147											Cvel_5034.t1-p1																																
OG0024148											Cvel_5035.t1-p1																																
OG0024149											Cvel_5036.t1-p1																																
OG0024150											Cvel_5039.t1-p1																																
OG0024151											Cvel_5040.t1-p1																																
OG0024152											Cvel_22845.t1-p1																																
OG0024153											Cvel_22851.t1-p1																																
OG0024154											Cvel_22857.t1-p1																																
OG0024155											Cvel_22858.t1-p1																																
OG0024156											Cvel_22859.t1-p1																																
OG0024157											Cvel_22861.t1-p1																																
OG0024158											Cvel_22862.t1-p1																																
OG0024159											Cvel_22863.t1-p1																																
OG0024160											Cvel_22864.t1-p1																																
OG0024161											Cvel_22865.t1-p1																																
OG0024162											Cvel_22867.t1-p1																																
OG0024163											Cvel_22869.t1-p1																																
OG0024164											Cvel_22871.t1-p1																																
OG0024165											Cvel_22873.t1-p1																																
OG0024166											Cvel_22875.t1-p1																																
OG0024167											Cvel_22877.t1-p1																																
OG0024168											Cvel_22878.t1-p1																																
OG0024169											Cvel_22881.t2-p1																																
OG0024170											Cvel_22885.t1-p1																																
OG0024171											Cvel_22889.t1-p1																																
OG0024172											Cvel_22890.t1-p1																																
OG0024173											Cvel_735.t1-p1																																
OG0024174											Cvel_736.t1-p1																																
OG0024175											Cvel_737.t1-p1																																
OG0024176											Cvel_738.t1-p1																																
OG0024177											Cvel_742.t1-p1																																
OG0024178											Cvel_743.t1-p1																																
OG0024179											Cvel_746.t1-p1																																
OG0024180											Cvel_750.t1-p1																																
OG0024181											Cvel_751.t1-p1																																
OG0024182											Cvel_752.t1-p1																																
OG0024183											Cvel_754.t1-p1																																
OG0024184											Cvel_755.t1-p1																																
OG0024185											Cvel_758.t1-p1																																
OG0024186											Cvel_758.t2-p1																																
OG0024187											Cvel_759.t1-p1																																
OG0024188											Cvel_760.t1-p1																																
OG0024189											Cvel_764.t1-p1																																
OG0024190											Cvel_766.t1-p1																																
OG0024191											Cvel_5044.t1-p1																																
OG0024192											Cvel_5049.t1-p1																																
OG0024193											Cvel_5051.t1-p1																																
OG0024194											Cvel_5054.t1-p1																																
OG0024195											Cvel_5055.t1-p1																																
OG0024196											Cvel_5056.t1-p1																																
OG0024197											Cvel_5056.t2-p1																																
OG0024198											Cvel_5063.t1-p1																																
OG0024199											Cvel_22891.t1-p1																																
OG0024200											Cvel_22892.t1-p1																																
OG0024201											Cvel_22893.t1-p1																																
OG0024202											Cvel_22894.t1-p1																																
OG0024203											Cvel_22895.t1-p1																																
OG0024204											Cvel_22896.t1-p1																																
OG0024205											Cvel_22899.t1-p1																																
OG0024206											Cvel_22900.t1-p1																																
OG0024207											Cvel_22901.t1-p1																																
OG0024208											Cvel_22902.t1-p1																																
OG0024209											Cvel_22903.t1-p1																																
OG0024210											Cvel_22905.t1-p1																																
OG0024211											Cvel_22906.t1-p1																																
OG0024212											Cvel_22910.t1-p1																																
OG0024213											Cvel_22914.t1-p1																																
OG0024214											Cvel_22915.t1-p1																																
OG0024215											Cvel_22916.t1-p1																																
OG0024216											Cvel_22917.t1-p1																																
OG0024217											Cvel_22919.t1-p1																																
OG0024218											Cvel_22923.t1-p1																																
OG0024219											Cvel_22925.t1-p1																																
OG0024220											Cvel_22926.t1-p1																																
OG0024221											Cvel_22927.t1-p1																																
OG0024222											Cvel_22928.t1-p1																																
OG0024223											Cvel_22929.t1-p1																																
OG0024224											Cvel_22930.t1-p1																																
OG0024225											Cvel_22931.t1-p1																																
OG0024226											Cvel_22933.t1-p1																																
OG0024227											Cvel_22934.t1-p1																																
OG0024228											Cvel_22936.t1-p1																																
OG0024229											Cvel_22939.t1-p1																																
OG0024230											Cvel_22943.t1-p1																																
OG0024231											Cvel_5067.t2-p1																																
OG0024232											Cvel_5068.t1-p1																																
OG0024233											Cvel_5069.t1-p1																																
OG0024234											Cvel_5072.t1-p1																																
OG0024235											Cvel_5073.t1-p1																																
OG0024236											Cvel_5075.t1-p1																																
OG0024237											Cvel_5076.t1-p1																																
OG0024238											Cvel_5077.t1-p1																																
OG0024239											Cvel_5080.t1-p1																																
OG0024240											Cvel_5082.t1-p1																																
OG0024241											Cvel_22944.t1-p1																																
OG0024242											Cvel_22945.t1-p1																																
OG0024243											Cvel_22946.t1-p1																																
OG0024244											Cvel_22948.t1-p1																																
OG0024245											Cvel_22952.t1-p1																																
OG0024246											Cvel_22953.t1-p1																																
OG0024247											Cvel_22954.t1-p1																																
OG0024248											Cvel_22957.t1-p1																																
OG0024249											Cvel_22962.t1-p1																																
OG0024250											Cvel_22966.t1-p1																																
OG0024251											Cvel_22968.t1-p1																																
OG0024252											Cvel_22969.t1-p1																																
OG0024253											Cvel_22975.t1-p1																																
OG0024254											Cvel_22979.t1-p1																																
OG0024255											Cvel_22980.t1-p1																																
OG0024256											Cvel_22981.t1-p1																																
OG0024257											Cvel_22982.t1-p1																																
OG0024258											Cvel_22983.t1-p1																																
OG0024259											Cvel_22984.t1-p1																																
OG0024260											Cvel_22988.t1-p1																																
OG0024261											Cvel_5094.t1-p1																																
OG0024262											Cvel_22992.t1-p1																																
OG0024263											Cvel_22996.t1-p1																																
OG0024264											Cvel_22999.t1-p1																																
OG0024265											Cvel_23000.t1-p1																																
OG0024266											Cvel_23005.t1-p1																																
OG0024267											Cvel_23006.t1-p1																																
OG0024268											Cvel_23007.t1-p1																																
OG0024269											Cvel_23010.t1-p1																																
OG0024270											Cvel_23011.t1-p1																																
OG0024271											Cvel_23015.t1-p1																																
OG0024272											Cvel_23018.t1-p1																																
OG0024273											Cvel_23019.t1-p1																																
OG0024274											Cvel_23020.t1-p1																																
OG0024275											Cvel_23021.t1-p1																																
OG0024276											Cvel_23025.t1-p1																																
OG0024277											Cvel_23028.t1-p1																																
OG0024278											Cvel_23031.t1-p1																																
OG0024279											Cvel_23032.t1-p1																																
OG0024280											Cvel_23034.t1-p1																																
OG0024281											Cvel_23036.t1-p1																																
OG0024282											Cvel_23038.t1-p1																																
OG0024283											Cvel_23039.t1-p1																																
OG0024284											Cvel_5096.t1-p1																																
OG0024285											Cvel_5096.t2-p1																																
OG0024286											Cvel_5097.t1-p1																																
OG0024287											Cvel_5100.t1-p1																																
OG0024288											Cvel_5103.t1-p1																																
OG0024289											Cvel_5106.t1-p1																																
OG0024290											Cvel_5107.t1-p1																																
OG0024291											Cvel_5108.t1-p1																																
OG0024292											Cvel_5109.t1-p1																																
OG0024293											Cvel_5110.t1-p1																																
OG0024294											Cvel_23041.t1-p1																																
OG0024295											Cvel_23044.t1-p1																																
OG0024296											Cvel_23046.t1-p1																																
OG0024297											Cvel_23048.t1-p1																																
OG0024298											Cvel_23060.t1-p1																																
OG0024299											Cvel_23061.t1-p1																																
OG0024300											Cvel_23063.t1-p1																																
OG0024301											Cvel_23065.t1-p1																																
OG0024302											Cvel_23073.t1-p1																																
OG0024303											Cvel_23074.t1-p1																																
OG0024304											Cvel_23075.t1-p1																																
OG0024305											Cvel_23077.t1-p1																																
OG0024306											Cvel_23079.t1-p1																																
OG0024307											Cvel_23083.t1-p1																																
OG0024308											Cvel_23085.t1-p1																																
OG0024309											Cvel_5113.t1-p1																																
OG0024310											Cvel_5116.t1-p1																																
OG0024311											Cvel_5118.t1-p1																																
OG0024312											Cvel_5119.t1-p1																																
OG0024313											Cvel_5120.t1-p1																																
OG0024314											Cvel_5123.t1-p1																																
OG0024315											Cvel_5124.t1-p1																																
OG0024316											Cvel_5130.t1-p1																																
OG0024317											Cvel_23087.t1-p1																																
OG0024318											Cvel_23089.t1-p1																																
OG0024319											Cvel_23090.t1-p1																																
OG0024320											Cvel_23091.t1-p1																																
OG0024321											Cvel_23094.t1-p1																																
OG0024322											Cvel_23096.t1-p1																																
OG0024323											Cvel_23097.t1-p1																																
OG0024324											Cvel_23098.t1-p1																																
OG0024325											Cvel_23100.t1-p1																																
OG0024326											Cvel_23103.t1-p1																																
OG0024327											Cvel_23104.t1-p1																																
OG0024328											Cvel_23104.t2-p1																																
OG0024329											Cvel_23107.t1-p1																																
OG0024330											Cvel_23108.t1-p1																																
OG0024331											Cvel_23110.t1-p1																																
OG0024332											Cvel_23111.t1-p1																																
OG0024333											Cvel_23114.t1-p1																																
OG0024334											Cvel_23116.t1-p1																																
OG0024335											Cvel_23117.t1-p1																																
OG0024336											Cvel_23118.t1-p1																																
OG0024337											Cvel_23121.t1-p1																																
OG0024338											Cvel_23123.t1-p1																																
OG0024339											Cvel_23123.t2-p1																																
OG0024340											Cvel_23124.t1-p1																																
OG0024341											Cvel_23125.t1-p1																																
OG0024342											Cvel_5131.t1-p1																																
OG0024343											Cvel_5133.t1-p1																																
OG0024344											Cvel_5136.t1-p1																																
OG0024345											Cvel_5137.t1-p1																																
OG0024346											Cvel_5138.t1-p1																																
OG0024347											Cvel_5139.t1-p1																																
OG0024348											Cvel_5140.t1-p1																																
OG0024349											Cvel_5145.t1-p1																																
OG0024350											Cvel_5146.t1-p1																																
OG0024351											Cvel_23129.t1-p1																																
OG0024352											Cvel_23133.t1-p1																																
OG0024353											Cvel_23135.t1-p1																																
OG0024354											Cvel_23136.t1-p1																																
OG0024355											Cvel_23138.t1-p1																																
OG0024356											Cvel_23143.t1-p1																																
OG0024357											Cvel_23146.t1-p1																																
OG0024358											Cvel_23147.t1-p1																																
OG0024359											Cvel_23149.t1-p1																																
OG0024360											Cvel_23153.t1-p1																																
OG0024361											Cvel_23154.t1-p1																																
OG0024362											Cvel_23156.t1-p1																																
OG0024363											Cvel_23157.t1-p1																																
OG0024364											Cvel_23158.t1-p1																																
OG0024365											Cvel_23163.t1-p1																																
OG0024366											Cvel_23165.t1-p1																																
OG0024367											Cvel_23166.t1-p1																																
OG0024368											Cvel_23167.t1-p1																																
OG0024369											Cvel_23172.t1-p1																																
OG0024370											Cvel_5151.t1-p1																																
OG0024371											Cvel_5152.t1-p1																																
OG0024372											Cvel_5153.t1-p1																																
OG0024373											Cvel_5156.t1-p1																																
OG0024374											Cvel_5158.t1-p1																																
OG0024375											Cvel_23174.t1-p1																																
OG0024376											Cvel_23175.t1-p1																																
OG0024377											Cvel_23176.t1-p1																																
OG0024378											Cvel_23177.t1-p1																																
OG0024379											Cvel_23178.t1-p1																																
OG0024380											Cvel_23179.t1-p1																																
OG0024381											Cvel_23180.t1-p1																																
OG0024382											Cvel_23181.t1-p1																																
OG0024383											Cvel_23182.t1-p1																																
OG0024384											Cvel_23183.t1-p1																																
OG0024385											Cvel_23184.t1-p1																																
OG0024386											Cvel_23185.t1-p1																																
OG0024387											Cvel_23186.t1-p1																																
OG0024388											Cvel_23189.t1-p1																																
OG0024389											Cvel_23192.t1-p1																																
OG0024390											Cvel_23193.t1-p1																																
OG0024391											Cvel_23194.t1-p1																																
OG0024392											Cvel_23196.t1-p1																																
OG0024393											Cvel_23197.t1-p1																																
OG0024394											Cvel_23199.t1-p1																																
OG0024395											Cvel_23200.t1-p1																																
