,Species Group,Number of Orthogroups,Number of genes,List of orthogroups,Sequence Name,Sequence Length,GOID,GOcount,GOterm,GOcategory,tophitGI,tophitaccession,Blast.Top.Hit.HSPs.Description,Blast.Top.Hit.E.Value,Blast.Top.Hit.Similarity,Interpro.Accession,Interpro.Type,Interpro.Name
417,NA,NA,NA,NA,PCYB_006470-t26_1-p1,319,,NA,,,457878060;389561973,GAB69898;XP_004228116,gi|457878060|ref|XP_004228116.1|hypothetical protein PCYB_006470 [Plasmodium cynomolgi strain B]/gi|389561973|dbj|GAB69898.1|hypothetical protein PCYB_006470 [Plasmodium cynomolgi strain B],0,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
418,NA,NA,NA,NA,PCYB_006520-t26_1-p1,67,,NA,,,389561992;457878115,XP_004228121;GAB69903,gi|389561992|dbj|GAB69903.1|hypothetical protein PCYB_006520 [Plasmodium cynomolgi strain B]/gi|457878115|ref|XP_004228121.1|hypothetical protein PCYB_006520 [Plasmodium cynomolgi strain B],4.40E-39,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
419,NA,NA,NA,NA,PCYB_006540-t26_1-p1,139,GO:0016021,1,integral component of membrane,Cellular Component,389561996;457878133,XP_004228123;GAB69905,gi|389561996|dbj|GAB69905.1|hypothetical protein PCYB_006540 [Plasmodium cynomolgi strain B]/gi|457878133|ref|XP_004228123.1|hypothetical protein PCYB_006540 [Plasmodium cynomolgi strain B],2.20E-97,100.00%,noIPR,FAMILY,Melanoma-associated antigen
420,NA,NA,NA,NA,PCYB_006560-t26_1-p1,267,GO:0016021,1,integral component of membrane,Cellular Component,457878155;389562000,XP_004228125;GAB69907,"gi|457878155|ref|XP_004228125.1|hypothetical protein PCYB_006560, partial [Plasmodium cynomolgi strain B]/gi|389562000|dbj|GAB69907.1|hypothetical protein PCYB_006560, partial [Plasmodium cynomolgi strain B]",0,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
421,NA,NA,NA,NA,PCYB_006580-t26_1-p1,220,,NA,,,457878177;389562004,XP_004228127;GAB69909,gi|389562004|dbj|GAB69909.1|RAD protein [Plasmodium cynomolgi strain B]/gi|457878177|ref|XP_004228127.1|RAD protein [Plasmodium cynomolgi strain B],3.70E-158,100.00%,IPR019111,DOMAIN,"Plasmodium RESA, N-terminal"
422,NA,NA,NA,NA,PCYB_006600-t26_1-p1,130,GO:0016021,1,integral component of membrane,Cellular Component,389562009;457878199,XP_004228129;GAB69911,"gi|389562009|dbj|GAB69911.1|hypothetical protein PCYB_006600, partial [Plasmodium cynomolgi strain B]/gi|457878199|ref|XP_004228129.1|hypothetical protein PCYB_006600, partial [Plasmodium cynomolgi strain B]",8.10E-87,100.00%,IPR022139,FAMILY,Protein of unknown function DUF3671
423,NA,NA,NA,NA,PCYB_006640-t26_1-p1,203,GO:0016021,1,integral component of membrane,Cellular Component,457878235;389562023,XP_004228133;GAB69915,"gi|457878235|ref|XP_004228133.1|hypothetical protein PCYB_006640, partial [Plasmodium cynomolgi strain B]/gi|389562023|dbj|GAB69915.1|hypothetical protein PCYB_006640, partial [Plasmodium cynomolgi strain B]",5.40E-147,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
424,NA,NA,NA,NA,PCYB_006880-t26_1-p1,308,GO:0016020,1,membrane,Cellular Component,389562122;457878436,XP_004228157;GAB69939,"gi|457878436|ref|XP_004228157.1|hypothetical protein PCYB_006880, partial [Plasmodium cynomolgi strain B]/gi|389562122|dbj|GAB69939.1|hypothetical protein PCYB_006880, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
425,NA,NA,NA,NA,PCYB_006890-t26_1-p1,307,GO:0016021,1,integral component of membrane,Cellular Component,389562124;457878447,XP_004228158;GAB69940,"gi|389562124|dbj|GAB69940.1|hypothetical protein PCYB_006890, partial [Plasmodium cynomolgi strain B]/gi|457878447|ref|XP_004228158.1|hypothetical protein PCYB_006890, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
426,NA,NA,NA,NA,PCYB_007080-t26_1-p1,303,,NA,,,389562186;457878670,XP_004228177;GAB69959,gi|457878670|ref|XP_004228177.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389562186|dbj|GAB69959.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,noIPR;IPR008780,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
427,NA,NA,NA,NA,PCYB_007120-t26_1-p1,277,GO:0016020,1,membrane,Cellular Component,457878706;389562199,XP_004228181;GAB69963,gi|457878706|ref|XP_004228181.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|389562199|dbj|GAB69963.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
428,NA,NA,NA,NA,PCYB_007170-t26_1-p1,99,GO:0016021,1,integral component of membrane,Cellular Component,457878749;389562228,XP_004228186;GAB69968,gi|457878749|ref|XP_004228186.1|hypothetical protein PCYB_007170 [Plasmodium cynomolgi strain B]/gi|389562228|dbj|GAB69968.1|hypothetical protein PCYB_007170 [Plasmodium cynomolgi strain B],2.30E-66,100.00%,,,
429,NA,NA,NA,NA,PCYB_007220-t26_1-p1,131,GO:0016020,1,membrane,Cellular Component,389562248;457878796,XP_004228191;GAB69973,"gi|457878796|ref|XP_004228191.1|hypothetical protein PCYB_007220, partial [Plasmodium cynomolgi strain B]/gi|389562248|dbj|GAB69973.1|hypothetical protein PCYB_007220, partial [Plasmodium cynomolgi strain B]",5.80E-88,100.00%,,,
430,NA,NA,NA,NA,PCYB_007360-t26_1-p1,238,GO:0016020,1,membrane,Cellular Component,457878924;389562320,XP_004228205;GAB69987,"gi|457878924|ref|XP_004228205.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|389562320|dbj|GAB69987.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",6.30E-177,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
431,NA,NA,NA,NA,PCYB_007420-t26_1-p1,283,GO:0016021,1,integral component of membrane,Cellular Component,389562333;457878934,GAB69993;XP_004228208,gi|389562333|dbj|GAB69993.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457878934|ref|XP_004228208.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,,,
432,NA,NA,NA,NA,PCYB_007770-t26_1-p1,220,GO:0016020,1,membrane,Cellular Component,389562536;457879048,GAB70028;XP_004228246,"gi|389562536|dbj|GAB70028.1|hypothetical protein PCYB_007770, partial [Plasmodium cynomolgi strain B]/gi|457879048|ref|XP_004228246.1|hypothetical protein PCYB_007770, partial [Plasmodium cynomolgi strain B]",1.50E-151,100.00%,,,
433,NA,NA,NA,NA,PCYB_008150-t26_1-p1,107,,NA,,,457879162;389562715,GAB70066;XP_004228284,gi|457879162|ref|XP_004228284.1|hypothetical protein PCYB_008150 [Plasmodium cynomolgi strain B]/gi|389562715|dbj|GAB70066.1|hypothetical protein PCYB_008150 [Plasmodium cynomolgi strain B],2.60E-69,100.00%,,,
434,NA,NA,NA,NA,PCYB_008220-t26_1-p1,228,GO:0016020,1,membrane,Cellular Component,457879183;389562751,GAB70073;XP_004228291,gi|457879183|ref|XP_004228291.1|hypothetical protein PCYB_008220 [Plasmodium cynomolgi strain B]/gi|389562751|dbj|GAB70073.1|hypothetical protein PCYB_008220 [Plasmodium cynomolgi strain B],1.80E-159,100.00%,,,
435,NA,NA,NA,NA,PVX_093700.1-p1,226,GO:0016021,1,integral component of membrane,Cellular Component,148801548;901893491;156082241,KNA02411;EDL42947;XP_001608609,gi|148801548|gb|EDL42947.1|hypothetical protein PVX_093700 [Plasmodium vivax]/gi|901893491|gb|KNA02411.1|hypothetical protein PVNG_05032 [Plasmodium vivax North Korean]/gi|156082241|ref|XP_001608609.1|hypothetical protein PVX_093700 [Plasmodium vivax],1.00E-163,100.00%,noIPR;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
436,NA,NA,NA,NA,PVX_093730.1-p1,551,GO:0016021,1,integral component of membrane,Cellular Component,156082253;148801554,EDL42953;XP_001608615,gi|156082253|ref|XP_001608615.1|hypothetical protein PVX_093730 [Plasmodium vivax]/gi|148801554|gb|EDL42953.1|hypothetical protein PVX_093730 [Plasmodium vivax],0,99.80%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
437,NA,NA,NA,NA,PVX_093735.1-p1,81,GO:0016021,1,integral component of membrane,Cellular Component,1074120681,SCO70546,gi|1074120681|emb|SCO70546.1|VIR protein [Plasmodium vivax],3.30E-50,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
438,NA,NA,NA,NA,PVX_081850.1-p1,608,GO:0016021,1,integral component of membrane,Cellular Component,148802520;156095221,EDL43919;XP_001613646,gi|156095221|ref|XP_001613646.1|variable surface protein Vir22/23-related [Plasmodium vivax]/gi|148802520|gb|EDL43919.1|variable surface protein Vir22/23-related [Plasmodium vivax],0,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
439,NA,NA,NA,NA,PVX_096910.1-p1,813,GO:0016021,1,integral component of membrane,Cellular Component,1714588839,VUZ93238,gi|1714588839|emb|VUZ93238.1|PIR protein [Plasmodium vivax],0,88.82%,IPR008780,FAMILY,Plasmodium vivax Vir
440,NA,NA,NA,NA,PVX_096920.1-p1,535,GO:0016021,1,integral component of membrane,Cellular Component,148801487;156093242,EDL42887;XP_001612661,gi|156093242|ref|XP_001612661.1|variable surface protein Vir12-related [Plasmodium vivax]/gi|148801487|gb|EDL42887.1|variable surface protein Vir12-related [Plasmodium vivax],0,100.00%,IPR008780;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
441,NA,NA,NA,NA,PVX_096945.1-p1,416,,NA,,,901866177;148801491;156093250,KMZ82870;EDL42891;XP_001612665,gi|156093250|ref|XP_001612665.1|variable surface protein Vir4-related [Plasmodium vivax]/gi|148801491|gb|EDL42891.1|variable surface protein Vir4-related [Plasmodium vivax]/gi|901866177|gb|KMZ82870.1|variable surface protein Vir4 [Plasmodium vivax India VII],0,99.66%,IPR008780,FAMILY,Plasmodium vivax Vir
442,NA,NA,NA,NA,PVX_001110.1-p1,207,GO:0016021,1,integral component of membrane,Cellular Component,148802268;1378143063;156094715,XP_001613394;XP_024587015;EDL43667,"gi|156094715|ref|XP_001613394.1|hypothetical protein, partial [Plasmodium vivax Sal-1]/gi|1378143063|ref|XP_024587015.1|hypothetical protein PVX_001110, partial [Plasmodium vivax]/gi|148802268|gb|EDL43667.1|hypothetical protein PVX_001110, partial [Plasmodium vivax]",1.70E-132,100.00%,IPR022139,FAMILY,Protein of unknown function DUF3671
443,NA,NA,NA,NA,PVX_096003.1-p1,461,GO:0016021,1,integral component of membrane,Cellular Component,1074115791,SCO65519,gi|1074115791|emb|SCO65519.1|VIR protein [Plasmodium vivax],0,88.43%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
444,NA,NA,NA,NA,PVX_096030.1-p1,156,,NA,,,156093448;148801637,EDL43036;XP_001612763,gi|156093448|ref|XP_001612763.1|hypothetical protein PVX_096030 [Plasmodium vivax]/gi|148801637|gb|EDL43036.1|hypothetical protein PVX_096030 [Plasmodium vivax],1.50E-105,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
445,NA,NA,NA,NA,PVX_096035.1-p1,165,,NA,,,156093450;148801638,XP_001612764;EDL43037,gi|148801638|gb|EDL43037.1|hypothetical protein PVX_096035 [Plasmodium vivax]/gi|156093450|ref|XP_001612764.1|hypothetical protein PVX_096035 [Plasmodium vivax],3.80E-109,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
446,NA,NA,NA,NA,PVX_103150.1-p1,488,GO:0016021,1,integral component of membrane,Cellular Component,148801400;156093095,EDL42804;XP_001612595,"gi|148801400|gb|EDL42804.1|variable surface protein Vir18, putative [Plasmodium vivax]/gi|156093095|ref|XP_001612595.1|variable surface protein Vir18, putative [Plasmodium vivax]",0,100.00%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
447,NA,NA,NA,NA,PVX_105205.1-p1,463,GO:0016020,1,membrane,Cellular Component,1074121083,SCO70957,gi|1074121083|emb|SCO70957.1|VIR protein [Plasmodium vivax],0,78.25%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
448,NA,NA,NA,NA,PVX_110295.1-p1,553,GO:0016021,1,integral component of membrane,Cellular Component,156093053;148801383,XP_001612578;EDL42787,gi|148801383|gb|EDL42787.1|variable surface protein Vir22-like [Plasmodium vivax]/gi|156093053|ref|XP_001612578.1|variable surface protein Vir22-like [Plasmodium vivax],0,100.00%,noIPR;noIPR;IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
449,NA,NA,NA,NA,PVX_110300.1-p1,856,GO:0016021,1,integral component of membrane,Cellular Component,1074115535;1714589054,VUZ93462;SCO65251,gi|1074115535|emb|SCO65251.1|VIR protein [Plasmodium vivax]/gi|1714589054|emb|VUZ93462.1|PIR protein [Plasmodium vivax],0,88.55%,noIPR;IPR008780,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
450,NA,NA,NA,NA,PVX_002480.1-p1,616,GO:0016021,1,integral component of membrane,Cellular Component,148801709;156093593,EDL43108;XP_001612835,gi|156093593|ref|XP_001612835.1|variable surface protein Vir12/24-related [Plasmodium vivax]/gi|148801709|gb|EDL43108.1|variable surface protein Vir12/24-related [Plasmodium vivax],0,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
451,NA,NA,NA,NA,PVX_002485.1-p1,528,GO:0016021,1,integral component of membrane,Cellular Component,1714583776,VUZ93693,gi|1714583776|emb|VUZ93693.1|PIR protein [Plasmodium vivax],0,97.16%,IPR008780;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
452,NA,NA,NA,NA,PVX_002490.1-p1,566,GO:0016021,1,integral component of membrane,Cellular Component,156093597;148801711,EDL43110;XP_001612837,gi|148801711|gb|EDL43110.1|variable surface protein Vir12-related [Plasmodium vivax]/gi|156093597|ref|XP_001612837.1|variable surface protein Vir12-related [Plasmodium vivax],0,86.59%,IPR008780;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
453,NA,NA,NA,NA,PVX_002512.1-p1,514,GO:0016021,1,integral component of membrane,Cellular Component,156093609;148801717,XP_001612843;EDL43116,gi|156093609|ref|XP_001612843.1|hypothetical protein PVX_002512 [Plasmodium vivax]/gi|148801717|gb|EDL43116.1|hypothetical protein PVX_002512 [Plasmodium vivax],0,100.00%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;IPR037445,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Melanoma-associated antigen
454,NA,NA,NA,NA,PVX_003490.1-p1,847,GO:0016021,1,integral component of membrane,Cellular Component,1714583973,VUZ93891,gi|1714583973|emb|VUZ93891.1|PIR protein [Plasmodium vivax],0,94.21%,noIPR;IPR008780,DOMAIN;FAMILY,"Plasmodium RESA, N-terminal;Plasmodium vivax Vir"
455,NA,NA,NA,NA,PVX_003505.1-p1,850,GO:0016021,1,integral component of membrane,Cellular Component,1074121295,SCO71179,gi|1074121295|emb|SCO71179.1|VIR protein [Plasmodium vivax],0,98.00%,IPR008780,FAMILY,Plasmodium vivax Vir
456,NA,NA,NA,NA,PVX_106210.1-p1,434,,NA,,,148801422;156082132,XP_001608556;EDL42824,"gi|148801422|gb|EDL42824.1|variable surface protein Vir6, putative [Plasmodium vivax]/gi|156082132|ref|XP_001608556.1|variable surface protein Vir6, putative [Plasmodium vivax]",0,100.00%,,,
457,NA,NA,NA,NA,PVX_106215.1-p1,691,GO:0016021,1,integral component of membrane,Cellular Component,148801423;156082134,EDL42825;XP_001608557,gi|156082134|ref|XP_001608557.1|hypothetical protein PVX_106215 [Plasmodium vivax]/gi|148801423|gb|EDL42825.1|hypothetical protein PVX_106215 [Plasmodium vivax],6.80E-166,99.57%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
458,NA,NA,NA,NA,PVX_088775.1-p1,328,,NA,,,1714587675,VUZ93921,gi|1714587675|emb|VUZ93921.1|PIR protein [Plasmodium vivax],0,90.24%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
459,NA,NA,NA,NA,PVX_088790.1-p1,801,GO:0016021,1,integral component of membrane,Cellular Component,1074121304,SCO71188,gi|1074121304|emb|SCO71188.1|VIR protein [Plasmodium vivax],0,97.25%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
460,NA,NA,NA,NA,PVX_088805.1-p1,868,GO:0016021,1,integral component of membrane,Cellular Component,1074116029,SCO65764,"gi|1074116029|emb|SCO65764.1|Plasmodium vivax Vir protein, putative [Plasmodium vivax]",0,97.59%,IPR008780,FAMILY,Plasmodium vivax Vir
461,NA,NA,NA,NA,PVX_089450.1-p1,348,,NA,,,148803851;156097889,EDL45250;XP_001614977,gi|148803851|gb|EDL45250.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|156097889|ref|XP_001614977.1|RAD protein (Pv-fam-e) [Plasmodium vivax],0,100.00%,IPR019111;noIPR;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
462,NA,NA,NA,NA,PVX_089790.1-p1,371,GO:0000272;GO:0016021,2,polysaccharide catabolic process;integral component of membrane,Biological Process;Cellular Component,156098031;148803922,XP_001615048;EDL45321,gi|148803922|gb|EDL45321.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|156098031|ref|XP_001615048.1|RAD protein (Pv-fam-e) [Plasmodium vivax],0,100.00%,noIPR;IPR019111;noIPR;noIPR;noIPR;noIPR,FAMILY;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Plasmodium vivax Vir;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
463,NA,NA,NA,NA,PVX_089795.1-p1,320,GO:0016021,1,integral component of membrane,Cellular Component,156098033;148803923,XP_001615049;EDL45322,gi|148803923|gb|EDL45322.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|156098033|ref|XP_001615049.1|RAD protein (Pv-fam-e) [Plasmodium vivax],0,100.00%,IPR019111;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
464,NA,NA,NA,NA,PVX_089800.1-p1,228,,NA,,,901865105;148803924;156098035,KMZ81911;EDL45323;XP_001615050,gi|901865105|gb|KMZ81911.1|RAD protein (Pv-fam-e) [Plasmodium vivax India VII]/gi|148803924|gb|EDL45323.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|156098035|ref|XP_001615050.1|RAD protein (Pv-fam-e) [Plasmodium vivax],2.40E-167,100.00%,IPR019111,DOMAIN,"Plasmodium RESA, N-terminal"
465,NA,NA,NA,NA,PVX_089805.1-p1,230,,NA,,,901873922;156098037;148803925;901892012;901882655;1074121499,KMZ94572;KNA01112;KMZ88198;XP_001615051;EDL45324;SCO71390,gi|901882655|gb|KMZ94572.1|RAD protein (Pv-fam-e) [Plasmodium vivax Mauritania I]/gi|901873922|gb|KMZ88198.1|RAD protein (Pv-fam-e) [Plasmodium vivax Brazil I]/gi|156098037|ref|XP_001615051.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|901892012|gb|KNA01112.1|RAD protein (Pv-fam-e) [Plasmodium vivax North Korean]/gi|148803925|gb|EDL45324.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|1074121499|emb|SCO71390.1|RAD protein (Pv-fam-e) [Plasmodium vivax],2.70E-168,100.00%,noIPR;IPR019111;noIPR,FAMILY;DOMAIN;DOMAIN,"Plasmodium vivax Vir;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
466,NA,NA,NA,NA,PVX_089810.1-p1,286,,NA,,,148803926;156098039,XP_001615052;EDL45325,gi|156098039|ref|XP_001615052.1|RAD protein (Pv-fam-e) [Plasmodium vivax]/gi|148803926|gb|EDL45325.1|RAD protein (Pv-fam-e) [Plasmodium vivax],0,100.00%,noIPR;noIPR;IPR019111;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
467,NA,NA,NA,NA,PVX_089863.1-p1,232,,NA,,,1714587888;1074121512,SCO71403;VUZ94138,"gi|1714587888|emb|VUZ94138.1|Plasmodium exported protein (PHIST), unknown function [Plasmodium vivax]/gi|1074121512|emb|SCO71403.1|RAD protein (Pv-fam-e) [Plasmodium vivax]",1.40E-172,100.00%,IPR019111;noIPR,DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
468,NA,NA,NA,NA,PVX_090290.1-p1,877,GO:0016021,1,integral component of membrane,Cellular Component,1714587975,VUZ94226,gi|1714587975|emb|VUZ94226.1|PIR protein [Plasmodium vivax],0,97.42%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
469,NA,NA,NA,NA,PVX_090295.1-p1,590,GO:0016021,1,integral component of membrane,Cellular Component,1714587977,VUZ94228,gi|1714587977|emb|VUZ94228.1|PIR protein [Plasmodium vivax],0,95.42%,IPR008780;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
470,NA,NA,NA,NA,PVX_090310.1-p1,582,GO:0016021,1,integral component of membrane,Cellular Component,1074116327,SCO66067,gi|1074116327|emb|SCO66067.1|VIR protein [Plasmodium vivax],0,98.80%,IPR008780;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
471,NA,NA,NA,NA,PVX_001635.1-p1,670,GO:0016021,1,integral component of membrane,Cellular Component,1074121626,SCO71524,gi|1074121626|emb|SCO71524.1|VIR protein [Plasmodium vivax],0,99.85%,noIPR;noIPR;IPR008780,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
472,NA,NA,NA,NA,PVX_001645.1-p1,661,GO:0016021,1,integral component of membrane,Cellular Component,148801562;156093297,EDL42961;XP_001612688,gi|156093297|ref|XP_001612688.1|variable surface protein Vir12-related [Plasmodium vivax]/gi|148801562|gb|EDL42961.1|variable surface protein Vir12-related [Plasmodium vivax],0,100.00%,IPR008780;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
473,NA,NA,NA,NA,PVX_001655.1-p1,213,,NA,,,901864817;148801564;156093301;901891704;901873454;901882366,KMZ81647;KMZ94298;KNA00830;KMZ87773;EDL42963;XP_001612690,gi|901873454|gb|KMZ87773.1|hypothetical protein PVBG_03874 [Plasmodium vivax Brazil I]/gi|901891704|gb|KNA00830.1|hypothetical protein PVNG_04766 [Plasmodium vivax North Korean]/gi|156093301|ref|XP_001612690.1|hypothetical protein PVX_001655 [Plasmodium vivax]/gi|901882366|gb|KMZ94298.1|hypothetical protein PVMG_02524 [Plasmodium vivax Mauritania I]/gi|148801564|gb|EDL42963.1|hypothetical protein PVX_001655 [Plasmodium vivax]/gi|901864817|gb|KMZ81647.1|hypothetical protein PVIIG_05014 [Plasmodium vivax India VII],1.60E-155,100.00%,,,
474,NA,NA,NA,NA,PVX_004503.1-p1,465,GO:0016020,1,membrane,Cellular Component,1714588240,VUZ94578,gi|1714588240|emb|VUZ94578.1|PIR protein [Plasmodium vivax],0,99.35%,noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
