,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED]",PF3D7_0423700.1-p1,early transcribed membrane protein 4,136,20,1.30E-90,86.43,,,,,,IPR006389 (PFAM); IPR006389 (TIGRFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR38922:SF2 (PANTHER); PTHR38922 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0423900.1-p1,"probable protein, unknown function",140,20,3.96E-96,92.64,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0424000.1-p1,exported protein (PHISTc),347,20,0,94.76,,,,,,IPR006526 (TIGRFAM); IPR019111 (PFAM); G3DSA:1.20.58.1760 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR36193 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0424100.1-p1,reticulocyte binding protein-like protein 4,526,20,0,98.84,,,,,,IPR041668 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0424800.1-p1,exported protein (PHISTb),314,20,0,84.85,,,,,,IPR019111 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0425000.1-p1,putative exported protein,378,20,3.24E-112,67.37,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0425100.1-p1,exported protein (hyp6),205,20,1.06E-140,88.73,,,,,,IPR006410 (TIGRFAM); IPR006410 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0425200.1-p1,"Plasmodium exported protein (hyp15), unknown function",230,20,4.98E-165,86.07,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0425500.1-p1,stevor,304,20,0,90.56,,,,,,IPR006374 (PFAM); IPR006374 (TIGRFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0425800.1-p1,erythrocyte membrane protein 1,3553,20,0,68.73,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR008602 (PFAM); IPR041480 (PFAM); IPR029211 (PFAM); G3DSA:1.10.1900.40 (GENE3D); IPR029210 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR004258 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.1930 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0426000.1-p1,"erythrocyte membrane protein 1, PfEMP1",2149,20,0,62.69,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,G3DSA:1.20.58.1930 (GENE3D); IPR029210 (PFAM); IPR008602 (PFAM); G3DSA:1.10.1900.40 (GENE3D); IPR004258 (PFAM); IPR041480 (PFAM); IPR029211 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0500100.1-p1,"erythrocyte membrane protein 1, PfEMP1",2207,20,0,65.98,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR008602 (PFAM); IPR029210 (PFAM); G3DSA:1.10.1900.40 (GENE3D); G3DSA:1.20.58.830 (GENE3D); IPR004258 (PFAM); IPR029211 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR041480 (PFAM); G3DSA:1.20.58.1930 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0500600.1-p1,stevor,307,20,0,88.54,,,,,,IPR006374 (PFAM); IPR006374 (TIGRFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0501000.1-p1,putative exported protein,260,13,0,97.1,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532100.1-p1,early transcribed membrane protein 5,181,20,1.16E-120,84.71,,,,,,IPR006389 (PFAM); IPR006389 (TIGRFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR38922 (PANTHER); PTHR38922:SF9 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532300.1-p1,exported protein (PHISTb),509,20,0,94.53,,,,,,IPR019111 (PFAM); G3DSA:1.20.58.1760 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR36193 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532400.1-p1,lysine-rich membrane-associated PHISTb protein,528,20,0,89.6,,,,,,G3DSA:1.20.58.1760 (GENE3D); IPR019111 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR36193 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532600.1-p1,putative exported protein,161,10,2.61E-112,85.12,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532700.1-p1,"erythrocyte membrane protein 1, PfEMP1, putative",281,20,3.55E-85,82.7,,,,,,IPR029211 (PFAM); G3DSA:1.10.1900.40 (GENE3D); PTHR18959 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0532800.1-p1,"PIR protein, putative",256,20,5.08E-74,72.82,,,,,,IPR006374 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0533100.1-p1,erythrocyte membrane protein 1,3164,20,0,83.24,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR004258 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.830 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR029210 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.830 (GENE3D); G3DSA:1.20.58.830 (GENE3D); IPR008602 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0600100.1-p1,erythrocyte membrane protein 1,259,20,0,78.08,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR042202 (G3DSA:1.20.1310.GENE3D); IPR008602 (PFAM); IPR029210 (PFAM); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0600200.1-p1,erythrocyte membrane protein 1,2879,20,0,70.57,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.10.1900.40 (GENE3D); G3DSA:1.20.58.830 (GENE3D); IPR004258 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR029211 (PFAM); IPR008602 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.1930 (GENE3D); IPR029210 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0600400.1-p1,"erythrocyte membrane protein 1, PfEMP1",1325,20,0,88.55,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR008602 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR029210 (PFAM); G3DSA:1.20.58.830 (GENE3D); G3DSA:1.10.1900.40 (GENE3D); IPR029211 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0600600.1-p1,"erythrocyte membrane protein 1, PfEMP1",440,20,0,84.33,,,,,,G3DSA:1.10.1900.40 (GENE3D); IPR029211 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0601000.1-p1,exported protein family 4,309,20,0,89.09,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0601100.1-p1,exported protein family 3,230,20,2.88E-165,89.3,,,,,,IPR006410 (PFAM); IPR006410 (TIGRFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0601200.1-p1,Pfmc-2TM Maurer's cleft two transmembrane protein,234,20,1.05E-167,89.76,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0601400.1-p1,erythrocyte membrane protein 1,495,20,1.59E-130,81.69,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR008602 (PFAM); G3DSA:1.10.1900.40 (GENE3D); IPR029211 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); PTHR18959:SF23 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0601500.1-p1,"Plasmodium exported protein (PHISTb), unknown function",467,20,0,98.07,,,,,,IPR019111 (PFAM); G3DSA:1.20.58.1760 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR36193 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0601700.1-p1,"Plasmodium exported protein (PHISTa-like), putative",288,20,0,82.16,,,,,,IPR006526 (TIGRFAM); IPR019111 (PFAM); PTHR23310 (PANTHER); PTHR23310:SF77 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0609600.1-p1,hypothetical protein PF3D7_0609600,1257,20,0,97.41,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0617400.1-p1,"erythrocyte membrane protein 1, PfEMP1, putative",2394,20,0,62.58,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR041480 (PFAM); IPR008602 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR004258 (PFAM); IPR029211 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.1930 (GENE3D); IPR029210 (PFAM); G3DSA:1.10.1900.40 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0617600.1-p1,stevor,302,20,0,81.42,,,,,,IPR006374 (PFAM); IPR006374 (TIGRFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0631100.1-p1,"Plasmodium exported protein (PHISTb), unknown function",466,20,0,97.78,,,,,,IPR019111 (PFAM); G3DSA:1.20.58.1760 (GENE3D); PTHR36193 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0631200.1-p1,"erythrocyte membrane protein 1, PfEMP1, putative",455,20,2.40E-43,76.68,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR008602 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0631400.1-p1,Pfmc-2TM Maurer's cleft two transmembrane protein,231,20,2.12E-165,89.74,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0631500.1-p1,exported protein family 3,230,20,2.26E-165,88.97,,,,,,IPR006410 (TIGRFAM); IPR006410 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0631600.1-p1,exported protein family 4,309,20,0,89.09,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0631900.1-p1,stevor,303,20,0,84.12,,,,,,IPR006374 (PFAM); IPR006374 (TIGRFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0632500.1-p1,"erythrocyte membrane protein 1, PfEMP1, putative",3954,20,0,65.62,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,G3DSA:1.20.58.830 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR041480 (PFAM); IPR004258 (PFAM); G3DSA:1.20.58.830 (GENE3D); G3DSA:1.10.1900.40 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR029210 (PFAM); G3DSA:1.20.58.830 (GENE3D); G3DSA:1.20.58.830 (GENE3D); IPR008602 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.20.58.1930 (GENE3D); IPR029211 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959:SF23 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); PTHR18959 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0632800.1-p1,"erythrocyte membrane protein 1, PfEMP1",2238,20,0,63.76,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR042202 (G3DSA:1.20.1310.GENE3D); IPR029211 (PFAM); G3DSA:1.20.58.1930 (GENE3D); IPR004258 (PFAM); IPR041480 (PFAM); IPR008602 (PFAM); G3DSA:1.10.1900.40 (GENE3D); IPR029210 (PFAM); IPR011049 (G3DSA:2.150.10.GENE3D); G3DSA:1.20.58.830 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959 (PANTHER); PTHR18959:SF23 (PANTHER); SSF101967 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0700100.1-p1,"erythrocyte membrane protein 1, PfEMP1",2286,20,0,63.95,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR041480 (PFAM); IPR029211 (PFAM); G3DSA:1.20.58.830 (GENE3D); IPR008602 (PFAM); G3DSA:1.20.58.1930 (GENE3D); G3DSA:1.10.1900.40 (GENE3D); IPR004258 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); IPR029210 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0700400.1-p1,stevor,300,20,0,87.66,,,,,,IPR006374 (TIGRFAM); IPR006374 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0700600.1-p1,"Plasmodium exported protein (PHISTa-like), putative",288,20,2.56E-156,71.52,,,,,,IPR019111 (PFAM); IPR006526 (TIGRFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0700700.1-p1,"PIR protein, putative",286,20,1.42E-114,65.8,,,,,,IPR006374 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0700800.1-p1,Pfmc-2TM Maurer's cleft two transmembrane protein,231,20,2.53E-164,86.2,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",PF3D7_0701000.1-p1,acidic terminal segment protein,504,20,5.92E-96,77.86,3,P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding,,,IPR029211 (PFAM); IPR008602 (PFAM); IPR042202 (G3DSA:1.20.1310.GENE3D); G3DSA:1.10.1900.40 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR18959:SF23 (PANTHER); PTHR18959 (PANTHER); SSF140924 (SUPERFAMILY),P:GO:0009405; C:GO:0016021; F:GO:0046789,P:pathogenesis; C:integral component of membrane; F:host cell surface receptor binding
TRUE,"[INTERPRO, BLASTED]",PF3D7_0701400.1-p1,exported protein family 4,308,20,0,89.17,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0701500.1-p1,exported protein family 3,230,20,3.63E-165,89.37,,,,,,IPR006410 (TIGRFAM); IPR006410 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PF3D7_0701600.1-p1,Pfmc-2TM Maurer's cleft two transmembrane protein,235,20,7.23E-167,87.71,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",PF3D7_0702000.1-p1,exported protein (hyp12),245,20,1.10E-175,93.72,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
