,Species Group,Number of Orthogroups,Number of genes,Sequence Name,Sequence Length,GOID,Gocount,Goterm,Gocategory,tophitGI,tophitaccession,List of orthogroups
511,NA,NA,NA,PVX_005575-t26_1-p1,138,,NA,,,148801427;156093138,XP_001612613;EDL42829,NA
512,NA,NA,NA,PVX_104180-t26_1-p1,386,GO:0016021,1,integral component of membrane,Cellular Component,148801418;156093127,EDL42821;XP_001612608,NA
513,NA,NA,NA,PVX_103670-t26_1-p1,459,,NA,,,148801416;156093122,XP_001612606;EDL42819,NA
514,NA,NA,NA,PVX_102645-t26_1-p1,92,,NA,,,901865604;901880662;901871306;901888042;156082129;148801409,KMZ82369;KMZ92893;KMZ99360;KMZ86474;XP_001608555;EDL42812,NA
515,NA,NA,NA,PVX_106725-t26_1-p1,469,GO:0016021,1,integral component of membrane,Cellular Component,148801397;156093088,XP_001612592;EDL42801,NA
516,NA,NA,NA,PVX_104695-t26_1-p1,435,GO:0016021,1,integral component of membrane,Cellular Component,156093081;148801394,XP_001612589;EDL42798,NA
517,NA,NA,NA,PVX_104700-t26_1-p1,475,GO:0016021,1,integral component of membrane,Cellular Component,156093083;148801395,XP_001612590;EDL42799,NA
518,NA,NA,NA,PVX_120335-t26_1-p1,485,GO:0016021,1,integral component of membrane,Cellular Component,148801391;156093073,XP_001612586;EDL42795,NA
519,NA,NA,NA,PVX_102130-t26_1-p1,456,GO:0016021,1,integral component of membrane,Cellular Component,156093050;148801382,XP_001612577;EDL42786,NA
520,NA,NA,NA,PVX_241295-t26_1-p1,489,GO:0016021,1,integral component of membrane,Cellular Component,156082120;148801380,XP_001608551;EDL42784,NA
521,NA,NA,NA,PVX_108255-t26_1-p1,442,,NA,,,156093043;148801376,EDL42781;XP_001612574,NA
522,NA,NA,NA,PVX_107230-t26_1-p1,416,GO:0016021,1,integral component of membrane,Cellular Component,148801373;156093035,EDL42778;XP_001612571,NA
523,NA,NA,NA,PVX_014630-t26_1-p1,464,GO:0016020,1,membrane,Cellular Component,156093022;148801369,EDL42774;XP_001612567,NA
524,NA,NA,NA,PVX_018150-t26_1-p1,510,GO:0016021,1,integral component of membrane,Cellular Component,148801366;156093015,XP_001612564;EDL42771,NA
525,NA,NA,NA,PVX_019165-t26_1-p1,503,GO:0016021,1,integral component of membrane,Cellular Component,156093000;148801361,EDL42766;XP_001612559,NA
526,NA,NA,NA,PVX_017145-t26_1-p1,478,GO:0016021,1,integral component of membrane,Cellular Component,156092990;148801357,EDL42762;XP_001612555,NA
527,NA,NA,NA,PVX_018655-t26_1-p1,515,,NA,,,148801354;156092982,EDL42759;XP_001612552,NA
528,NA,NA,NA,PVX_007585-t26_1-p1,447,,NA,,,148801348;156092960,XP_001612546;EDL42753,NA
529,NA,NA,NA,PVX_007080-t26_1-p1,451,GO:0016021,1,integral component of membrane,Cellular Component,156092954;148801346,EDL42751;XP_001612544,NA
530,NA,NA,NA,PVX_022185-t26_1-p1,352,GO:0016021,1,integral component of membrane,Cellular Component,156092951;148801345,XP_001612543;EDL42750,NA
531,NA,NA,NA,PVX_020675-t26_1-p1,495,GO:0016021,1,integral component of membrane,Cellular Component,148801343;1125606626;156092946,EDL42748;XP_001612541;SCA60243,NA
532,NA,NA,NA,PVX_024185-t26_1-p1,427,,NA,,,148801342;156092942,EDL42747;XP_001612540,NA
533,NA,NA,NA,PVX_013625-t26_1-p1,381,GO:0016020,1,membrane,Cellular Component,148801339;156092930,EDL42744;XP_001612537,NA
534,NA,NA,NA,PVX_010100-t26_1-p1,478,GO:0016020,1,membrane,Cellular Component,148801336;156092919,EDL42741;XP_001612534,NA
535,NA,NA,NA,PVX_021180-t26_1-p1,467,GO:0016021,1,integral component of membrane,Cellular Component,156092902;148801330,XP_001612528;EDL42735,NA
536,NA,NA,NA,PVX_017650-t26_1-p1,502,GO:0016021,1,integral component of membrane,Cellular Component,156092898;148801329,EDL42734;XP_001612527,NA
537,NA,NA,NA,PVX_012115-t26_1-p1,506,,NA,,,148801327;156092890,XP_001612525;EDL42732,NA
538,NA,NA,NA,PVX_015130-t26_1-p1,459,GO:0016020,1,membrane,Cellular Component,148801323;156092880,XP_001612521;EDL42728,NA
539,NA,NA,NA,PVX_015640-t26_1-p1,427,GO:0016020,1,membrane,Cellular Component,156092873;148801322,EDL42727;XP_001612520,NA
540,NA,NA,NA,PVX_013120-t26_1-p1,475,GO:0016021,1,integral component of membrane,Cellular Component,148801320;156092866,XP_001612518;EDL42725,NA
541,NA,NA,NA,PVX_011110-t26_1-p1,475,GO:0016021,1,integral component of membrane,Cellular Component,156092859;148801318,EDL42723;XP_001612516,NA
542,NA,NA,NA,PVX_006080-t26_1-p1,577,GO:0016021,1,integral component of membrane,Cellular Component,156092856;148801317,EDL42722;XP_001612515,NA
543,NA,NA,NA,PVX_016640-t26_1-p1,483,GO:0016021,1,integral component of membrane,Cellular Component,156092833;148801313,EDL42718;XP_001612511,NA
544,NA,NA,NA,PVX_079195-t26_1-p1,427,GO:0016021,1,integral component of membrane,Cellular Component,148801308;156092814,XP_001612506;EDL42713,NA
545,NA,NA,NA,PVX_062690-t26_1-p1,462,GO:0016021,1,integral component of membrane,Cellular Component,156092799;148801306,EDL42711;XP_001612504,NA
546,NA,NA,NA,PVX_060690-t26_1-p1,656,GO:0016021,1,integral component of membrane,Cellular Component,156092796;148801305,XP_001612503;EDL42710,NA
547,NA,NA,NA,PVX_035190-t26_1-p1,410,,NA,,,156092772;148801300,EDL42705;XP_001612498,NA
548,NA,NA,NA,PVX_030690-t26_1-p1,186,GO:0016021,1,integral component of membrane,Cellular Component,156092757;148801296,EDL42701;XP_001612494,NA
549,NA,NA,NA,PVX_068190-t26_1-p1,511,GO:0016021,1,integral component of membrane,Cellular Component,148801293;156092740,XP_001612491;EDL42698,NA
550,NA,NA,NA,PVX_063690-t26_1-p1,456,,NA,,,148801289;156092707,XP_001612487;EDL42694,NA
551,NA,NA,NA,PVX_026690-t26_1-p1,460,,NA,,,148801285;156092690,XP_001612483;EDL42690,NA
552,NA,NA,NA,PVX_029690-t26_1-p1,399,,NA,,,156092677;148801283,EDL42688;XP_001612481,NA
553,NA,NA,NA,PVX_068690-t26_1-p1,529,GO:0016021,1,integral component of membrane,Cellular Component,156092620;148801273,EDL42678;XP_001612471,NA
554,NA,NA,NA,PVX_048690-t26_1-p1,408,,NA,,,156092599;148801268,XP_001612466;EDL42673,NA
555,NA,NA,NA,PVX_039190-t26_1-p1,438,,NA,,,156092588;148801265,EDL42670;XP_001612463,NA
556,NA,NA,NA,PVX_050690-t26_1-p1,405,,NA,,,156092585;148801264,XP_001612462;EDL42669,NA
557,NA,NA,NA,PVX_145260-t26_1-p1,305,GO:0016021,1,integral component of membrane,Cellular Component,148801263;156092580,EDL42668;XP_001612461,NA
558,NA,NA,NA,PVX_073190-t26_1-p1,492,,NA,,,148801260;156092563,XP_001612458;EDL42665,NA
559,NA,NA,NA,PVX_028690-t26_1-p1,464,GO:0016020,1,membrane,Cellular Component,148801257;156092546,XP_001612455;EDL42662,NA
560,NA,NA,NA,PVX_031190-t26_1-p1,319,,NA,,,156092542;148801256,XP_001612454;EDL42661,NA
561,NA,NA,NA,PVX_066190-t26_1-p1,463,GO:0016021,1,integral component of membrane,Cellular Component,148801254;156092530,EDL42659;XP_001612452,NA
562,NA,NA,NA,PVX_070190-t26_1-p1,182,,NA,,,156092525;148801253,XP_001612451;EDL42658,NA
563,NA,NA,NA,PVX_065190-t26_1-p1,442,GO:0016020,1,membrane,Cellular Component,148801247;156092482,EDL42652;XP_001612445,NA
564,NA,NA,NA,PVX_032190-t26_1-p1,497,,NA,,,148801246;156092479,XP_001612444;EDL42651,NA
565,NA,NA,NA,PVX_056190-t26_1-p1,407,,NA,,,148801243;156092454,EDL42648;XP_001612441,NA
566,NA,NA,NA,PVX_071190-t26_1-p1,437,GO:0016021,1,integral component of membrane,Cellular Component,156092444;148801241,EDL42646;XP_001612439,NA
567,NA,NA,NA,PVX_033690-t26_1-p1,105,GO:0016021,1,integral component of membrane,Cellular Component,148801230;156092379,EDL42635;XP_001612428,NA
568,NA,NA,NA,PVX_060190-t26_1-p1,84,,NA,,,148801215;156092216,EDL42620;XP_001612413,NA
569,NA,NA,NA,PVX_047190-t26_1-p1,325,,NA,,,148801214;156092210,EDL42619;XP_001612412,NA
570,NA,NA,NA,PVX_059190-t26_1-p1,438,,NA,,,148801212;156092180,EDL42617;XP_001612410,NA
571,NA,NA,NA,PVX_035690-t26_1-p1,298,GO:0016020,1,membrane,Cellular Component,148801193;156091858,EDL42598;XP_001612391,NA
572,NA,NA,NA,PVX_044690-t26_1-p1,72,GO:0016021,1,integral component of membrane,Cellular Component,156091770;148801187,XP_001612385;EDL42592,NA
573,NA,NA,NA,PVX_045190-t26_1-p1,130,GO:0016021,1,integral component of membrane,Cellular Component,901882436;901891869,KMZ94361;KNA00979,NA
574,NA,NA,NA,PVX_040190-t26_1-p1,266,GO:0016021,1,integral component of membrane,Cellular Component,148801149;156091072,EDL42554;XP_001612347,NA
575,NA,NA,NA,PVX_044190-t26_1-p1,61,GO:0016021,1,integral component of membrane,Cellular Component,156090607;148801128,XP_001612326;EDL42533,NA
576,NA,NA,NA,PVX_121345-t26_1-p1,449,,NA,,,148801116;156082106,EDL42521;XP_001608545,NA
577,P.falciparum and P.gaboni,6,16,NA,NA,NA,NA,NA,NA,NA,NA,"OG0010095 ""OG0011681"" ""OG0011707"" ""OG0015156"" ""OG0015157"" ""OG0015161"""
578,NA,NA,NA,PF3D7_0221650.1-p1,220,GO:0016021,1,integral component of membrane,Cellular Component,1084839806;1011105177,XP_018641768;KYO00001,NA
579,NA,NA,NA,PF3D7_0831500.1-p1,335,,NA,,,574991221;1013064609;583216757;574750805;575001666;1371546424;579336558;1304174181;583226345;574988478;574981707,EWC88866;PKC46191;ETW52341;ETW49736;XP_024329067;CZT62757;ETW43470;EWC77644;ETW62126;ETW18874;EUT87393,NA
580,NA,NA,NA,PF3D7_0832250.1-p1,159,GO:0016021,1,integral component of membrane,Cellular Component,574968524,ETW31566,NA
581,NA,NA,NA,PF3D7_0901800.1-p1,269,GO:0016021,1,integral component of membrane,Cellular Component,1013064451;1371546451;575001329;574995856;583215878;583226185;1304173186,PKC45205;EWC88739;ETW56884;XP_002808908;CAX64189;EWC76945;ETW61790,NA
582,NA,NA,NA,PF3D7_0902700.1-p1,447,GO:0006508;GO:0008234;GO:0016021,3,proteolysis;cysteine-type peptidase activity;integral component of membrane,Biological Process;Molecular Function;Cellular Component,579335536;914551726,EUT86384;KOB63848,NA
583,NA,NA,NA,PF3D7_1038600.1-p1,518,GO:0016021,1,integral component of membrane,Cellular Component,574980614;1304171387;258597169;1016051893;574749853,PKC43412;CZT98643;XP_001347660;ETW42383;ETW17988,NA
584,NA,NA,NA,PF3D7_1253500.1-p1,210,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,1016053691;1304176455;124807134,PKC48413;CZT99688;XP_001350917,NA
585,NA,NA,NA,PF3D7_1479100.1-p1,210,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,1016053166;914580967;124810583;574998221;583213483;910274703;1304177938;574993354;574978421;574971250;579327056;579113432;914549150,EUR62170;KNG78232;KOB87384;PKC49850;ETW54470;XP_001348935;CZU00486;ETW40223;EWC75032;ETW33540;ETW58792;EUT78010;KOB62085,NA
586,NA,NA,NA,PGSY75_0831500-t31_1-p1,267,GO:0110165,1,cellular anatomical entity,Cellular Component,1011106070;1084839664,KYO00889;XP_018642390,NA
587,NA,NA,NA,PGSY75_0901700-t31_1-p1,251,GO:0016021,1,integral component of membrane,Cellular Component,1084839806;1011105177,XP_018641768;KYO00001,NA
588,NA,NA,NA,PGSY75_0901800-t31_1-p1,259,GO:0016021,1,integral component of membrane,Cellular Component,1084839835;1011105178,XP_018641769;KYO00002,NA
589,NA,NA,NA,PGSY75_0902700-t31_1-p1,488,GO:0016021,1,integral component of membrane,Cellular Component,1011105186;1084840110,XP_018641777;KYO00010,NA
590,NA,NA,NA,PGSY75_1038600-t31_1-p1,519,GO:0016021,1,integral component of membrane,Cellular Component,1011105166;1084866370,KYN99755;XP_018641762,NA
591,NA,NA,NA,PGSY75_0030300-t31_1-p1,259,GO:0016021,1,integral component of membrane,Cellular Component,1084968046;1011097594,XP_018638803;KYN93196,NA
592,NA,NA,NA,PGSY75_0027400-t31_1-p1,426,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,1011097493;1084968818,XP_018638783;KYN93158,NA
593,NA,NA,NA,PGSY75_0035300-t31_1-p1,279,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,1011097303;1084969868,XP_018638749;KYN93094,NA
594,P.falciparum and P.reichenowi,30,75,NA,NA,NA,NA,NA,NA,NA,NA,"""OG0005069"" ""OG0011725"" ""OG0011726"" ""OG0015144"" ""OG0015145"" ""OG0015146"" ""OG0015147"" ""OG0015148"" ""OG0015149"" ""OG0015150"" ""OG0015151"" ""OG0015152"" ""OG0015153"" ""OG0015154"" ""OG0015155"" ""OG0015158"" ""OG0015159"" ""OG0015160"" ""OG0015162"" ""OG0015163"" ""OG0015164"" ""OG0015165"" ""OG0015166"" ""OG0015167"" ""OG0015168"" ""OG0015169""  ""OG0015170"" ""OG0015171"" ""OG0015172"" ""OG0015173"""
595,NA,NA,NA,PF3D7_0100700.1-p1,67,,NA,,,,,NA
596,NA,NA,NA,PF3D7_0101400.1-p1,274,,NA,,,,,NA
597,NA,NA,NA,PF3D7_0114000.1-p1,1463,,NA,,,,,NA
598,NA,NA,NA,PF3D7_0114400.1-p1,456,,NA,,,,,NA
599,NA,NA,NA,PF3D7_0114500.1-p1,110,,NA,,,,,NA
600,NA,NA,NA,PF3D7_0114600.1-p1,312,,NA,,,,,NA
601,NA,NA,NA,PF3D7_0114900.1-p1,211,,NA,,,,,NA
602,NA,NA,NA,PF3D7_0221100.1-p1,257,,NA,,,,,NA
603,NA,NA,NA,PF3D7_0221800.1-p1,62,,NA,,,,,NA
604,NA,NA,NA,PF3D7_0222000.1-p1,282,,NA,,,,,NA
605,NA,NA,NA,PF3D7_0324000.1-p1,282,,NA,,,,,NA
606,NA,NA,NA,PF3D7_0402900.1-p1,99,,NA,,,,,NA
607,NA,NA,NA,PF3D7_0424200.1-p1,1716,,NA,,,,,NA
608,NA,NA,NA,PF3D7_0500700.1-p1,85,,NA,,,,,NA
609,NA,NA,NA,PF3D7_0532500.1-p1,121,,NA,,,,,NA
610,NA,NA,NA,PF3D7_0601300.1-p1,282,,NA,,,,,NA
611,NA,NA,NA,PF3D7_0631300.1-p1,282,,NA,,,,,NA
612,NA,NA,NA,PF3D7_0700900.1-p1,342,,NA,,,,,NA
613,NA,NA,NA,PF3D7_0701700.1-p1,282,,NA,,,,,NA
614,NA,NA,NA,PF3D7_0713200.1-p1,224,,NA,,,,,NA
615,NA,NA,NA,PF3D7_0731300.1-p1,317,,NA,,,,,NA
616,NA,NA,NA,PF3D7_0917400.1-p1,1291,,NA,,,,,NA
617,NA,NA,NA,PF3D7_1001000.1-p1,231,,NA,,,,,NA
618,NA,NA,NA,PF3D7_1008300.1-p1,35,,NA,,,,,NA
619,NA,NA,NA,PF3D7_1039100.1-p1,565,,NA,,,,,NA
620,NA,NA,NA,PF3D7_1039200.1-p1,149,,NA,,,,,NA
621,NA,NA,NA,PF3D7_1039600.1-p1,274,,NA,,,,,NA
622,NA,NA,NA,PF3D7_1100900.1-p1,277,,NA,,,,,NA
623,NA,NA,NA,PF3D7_1101800.1-p1,282,,NA,,,,,NA
624,NA,NA,NA,PF3D7_1102100.1-p1,149,,NA,,,,,NA
625,NA,NA,NA,PF3D7_1102200.1-p1,566,,NA,,,,,NA
626,NA,NA,NA,PF3D7_1102300.1-p1,415,,NA,,,,,NA
627,NA,NA,NA,PF3D7_1219200.1-p1,232,,NA,,,,,NA
628,NA,NA,NA,PF3D7_1240200.1-p1,837,,NA,,,,,NA
629,NA,NA,NA,PF3D7_1312450.1-p1,63,,NA,,,,,NA
630,NA,NA,NA,PF3D7_1334900.1-p1,46,,NA,,,,,NA
631,NA,NA,NA,PF3D7_1335200.1-p1,1043,,NA,,,,,NA
632,NA,NA,NA,PF3D7_1409500.1-p1,875,,NA,,,,,NA
633,NA,NA,NA,PF3D7_1412900.2-p1,91,,NA,,,,,NA
634,NA,NA,NA,PF3D7_1413300.1-p1,68,,NA,,,,,NA
635,NA,NA,NA,PF3D7_1471800.1-p1,254,,NA,,,,,NA
636,NA,NA,NA,PF3D7_1478000.1-p1,282,,NA,,,,,NA
637,NA,NA,NA,PF3D7_1478700.1-p1,373,,NA,,,,,NA
638,NA,NA,NA,PRCDC_0112200.1-p1,1058,,NA,,,,,NA
639,NA,NA,NA,PRCDC_0112600.1-p1,443,,NA,,,,,NA
640,NA,NA,NA,PRCDC_0112700.1-p1,111,,NA,,,,,NA
641,NA,NA,NA,PRCDC_0219800.1-p1,256,,NA,,,,,NA
642,NA,NA,NA,PRCDC_0220100.1-p1,62,,NA,,,,,NA
643,NA,NA,NA,PRCDC_0323300.1-p1,261,,NA,,,,,NA
644,NA,NA,NA,PRCDC_0400500.1-p1,99,,NA,,,,,NA
645,NA,NA,NA,PRCDC_0421400.1-p1,1665,,NA,,,,,NA
646,NA,NA,NA,PRCDC_0531500.1-p1,122,,NA,,,,,NA
647,NA,NA,NA,PRCDC_0728100.1-p1,321,,NA,,,,,NA
648,NA,NA,NA,PRCDC_0728800.1-p1,406,,NA,,,,,NA
649,NA,NA,NA,PRCDC_0800300.1-p1,231,,NA,,,,,NA
650,NA,NA,NA,PRCDC_0915400.1-p1,1341,,NA,,,,,NA
651,NA,NA,NA,PRCDC_1000400.1-p1,194,,NA,,,,,NA
652,NA,NA,NA,PRCDC_1007700.1-p1,23,,NA,,,,,NA
653,NA,NA,NA,PRCDC_1100600.1-p1,147,,NA,,,,,NA
654,NA,NA,NA,PRCDC_1100700.1-p1,566,,NA,,,,,NA
655,NA,NA,NA,PRCDC_1100800.1-p1,433,,NA,,,,,NA
656,NA,NA,NA,PRCDC_1218500.1-p1,241,,NA,,,,,NA
657,NA,NA,NA,PRCDC_1239400.1-p1,907,,NA,,,,,NA
658,NA,NA,NA,PRCDC_1311450.1-p1,63,,NA,,,,,NA
659,NA,NA,NA,PRCDC_1333900.1-p1,31,,NA,,,,,NA
660,NA,NA,NA,PRCDC_1334300.1-p1,1757,,NA,,,,,NA
661,NA,NA,NA,PRCDC_1408800.1-p1,822,,NA,,,,,NA
662,NA,NA,NA,PRCDC_1412200.2-p1,91,,NA,,,,,NA
663,NA,NA,NA,PRCDC_1412600.1-p1,68,,NA,,,,,NA
664,NA,NA,NA,PRCDC_1471000.1-p1,253,,NA,,,,,NA
665,NA,NA,NA,PRCDC_1477000.1-p1,277,,NA,,,,,NA
666,NA,NA,NA,PRCDC_1477700.1-p1,372,,NA,,,,,NA
667,NA,NA,NA,PRCDC_0035800.1-p1,70,,NA,,,,,NA
668,NA,NA,NA,PRCDC_0058900.1-p1,231,,NA,,,,,NA
669,NA,NA,NA,PRCDC_0007600.1-p1,203,,NA,,,,,NA
670,"P.falciparum, P.gaboni and P.reichenowi",150,944,NA,NA,NA,NA,NA,NA,NA,NA,"""OG0000049"" ""OG0000161"" ""OG0001908"" ""OG0003867"" ""OG0005068"" ""OG0005426"" ""OG0005658"" ""OG0005912"" ""OG0006166"" ""OG0006405"" ""OG0006407"" ""OG0006408"" ""OG0006754"" ""OG0007288"" ""OG0007289"" ""OG0007291"" ""OG0007293"" ""OG0007919"" ""OG0007920"" ""OG0007921"" ""OG0007922"" ""OG0007923"" ""OG0009129"" ""OG0009130"" ""OG0009131"" ""OG0009132""  ""OG0009133"" ""OG0009134"" ""OG0009137"" ""OG0010086"" ""OG0010087"" ""OG0010089"" ""OG0010091"" ""OG0010092"" ""OG0010093"" ""OG0010094"" ""OG0010096"" ""OG0010097"" ""OG0011666"" ""OG0011667"" ""OG0011668"" ""OG0011669"" ""OG0011670"" ""OG0011671"" ""OG0011672"" ""OG0011673"" ""OG0011674"" ""OG0011675"" ""OG0011676"" ""OG0011677"" ""OG0011678"" ""OG0011679""  ""OG0011680"" ""OG0011682"" ""OG0011683"" ""OG0011684"" ""OG0011685"" ""OG0011686"" ""OG0011687"" ""OG0011688"" ""OG0011689"" ""OG0011690"" ""OG0011691"" ""OG0011692"" ""OG0011693"" ""OG0011694"" ""OG0011695"" ""OG0011696"" ""OG0011697"" ""OG0011698"" ""OG0011699"" ""OG0011700"" ""OG0011701"" ""OG0011702"" ""OG0011703"" ""OG0011704"" ""OG0011705"" ""OG0011706""  ""OG0011708"" ""OG0011709"" ""OG0011710"" ""OG0011711"" ""OG0011712"" ""OG0011713"" ""OG0011714"" ""OG0011715"" ""OG0011716"" ""OG0011717"" ""OG0011718"" ""OG0011719"" ""OG0011720"" ""OG0011721"" ""OG0011722"" ""OG0011723"" ""OG0011724"" ""OG0011727"" ""OG0011728"" ""OG0011729"" ""OG0011730"" ""OG0011731"" ""OG0011732"" ""OG0011733"" ""OG0011734"" ""OG0011735""  ""OG0011736"" ""OG0011737"" ""OG0011738"" ""OG0011739"" ""OG0011740"" ""OG0011741"" ""OG0011742"" ""OG0011743"" ""OG0011744"" ""OG0011745"" ""OG0011746"" ""OG0011747"" ""OG0011748"" ""OG0011749"" ""OG0011750"" ""OG0011751"" ""OG0011752"" ""OG0011753"" ""OG0011754"" ""OG0011755"" ""OG0011756"" ""OG0011757"" ""OG0011758"" ""OG0011759"" ""OG0011760"" ""OG0011761""   ""OG0011762"" ""OG0011763"" ""OG0011764"" ""OG0011765"" ""OG0011766"" ""OG0011767"" ""OG0011768"" ""OG0011769"" ""OG0011770"" ""OG0011771"" ""OG0011772"" ""OG0011773"" ""OG0011774"" ""OG0011775"" ""OG0011776"" ""OG0011777"" ""OG0011778"" ""OG0011779"" ""OG0011780"" ""OG0011781"""
671,NA,NA,NA,PF3D7_0100100.1-p1,2163,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,7670005;124505645,XP_001350936;CAB89209,NA
672,NA,NA,NA,PF3D7_0100300.1-p1,1327,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,7670007;1304176117;124505649,PKC48100;XP_001350938;CAB89211,NA
673,NA,NA,NA,PF3D7_0100500.1-p1,37,GO:0016021,1,integral component of membrane,Cellular Component,1304176107,PKC48090,NA
674,NA,NA,NA,PF3D7_0101100.1-p1,309,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1304173278;4493997;124505665;23510589;124505143;1304176064,PKC48047;PKC45294;XP_001351313;CAB39056;CAD48971;XP_001350946,NA
675,NA,NA,NA,PF3D7_0101200.1-p1,230,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1369352664;914551181;296004788;1304171500;23510590;1016051926;914551711;124505141;1304174306;914580067;574969255;574982179;124505667;4493996;1304176020;1016051492;124803036;574996648;225632130;1304173452;124801540;1016051899;1304177162;124803405;914551743,KOB86486;PKC48003;PKC43525;PKC45468;PKC46313;PKC49098;ETW57622;SOS81774;CZT98684;XP_001347705;XP_001350947;XP_002808746;CAB39055;CZT98235;CZT98653;XP_001349724;XP_001351312;XP_001347675;CAD48972;CAX64019;ETW43933;ETW32260;KOB63837;KOB63861;KOB63509,NA
676,NA,NA,NA,PF3D7_0101300.1-p1,235,GO:0016021;GO:0020005;GO:0020036;GO:0042000,4,integral component of membrane;symbiont-containing vacuole membrane;Maurer's cleft;translocation of peptides or proteins into host,Cellular Component;Cellular Component;Cellular Component;Biological Process,224591363;1304176116;296004462,PKC48099;XP_002808599;CAX51181,NA
677,NA,NA,NA,PF3D7_0101500.1-p1,535,GO:0000166;GO:0003676;GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,12,"nucleotide binding;nucleic acid binding;pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Molecular Function;Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1370996830,SOS76647,NA
678,NA,NA,NA,PF3D7_0101700.1-p1,447,GO:0016021,1,integral component of membrane,Cellular Component,914578434,KOB84860,NA
679,NA,NA,NA,PF3D7_0101800.1-p1,289,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,124505673;23510593;1304176027,PKC48010;XP_001350950;CAD48978,NA
680,NA,NA,NA,PF3D7_0102000.1-p1,251,GO:0016020,1,membrane,Cellular Component,574753234;583217954;579327061;574985062;574983759;583228984,EWC91049;ETW46407;ETW45494;EWC78612;ETW21000;EUT78015,NA
681,NA,NA,NA,PF3D7_0102100.1-p1,281,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,583228985;579134250,EUR82671;EWC91050,NA
682,NA,NA,NA,PF3D7_0102300.1-p1,117,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,23510598;574977301;1304176142;574990707;914550084;574753237;574983762;124505683;579134252,EUR82673;PKC48125;ETW51897;XP_001350955;CAD48983;ETW45497;ETW39272;ETW21003;KOB62797,NA
683,NA,NA,NA,PF3D7_0106600.1-p1,299,GO:0005634;GO:0042254,2,nucleus;ribosome biogenesis,Cellular Component;Biological Process,574753281;574996934;583218789;574983810;574977261;583229032;124505767;1304176044;574964982;23510640;910274838;575003615;579134296;914545279,EUR82717;PKC48027;EWC91097;KNG78367;ETW57905;CAD49025;XP_001350997;ETW45545;EWC79273;ETW39237;ETW28209;ETW64024;ETW21047;KOB58598,NA
684,NA,NA,NA,PF3D7_0112900.1-p1,188,GO:0016021,1,integral component of membrane,Cellular Component,1304176047;574977155;583229093;583218699;914582650;574969567;6594248;574753214;579134136;914548286;124505877,EUR82561;PKC48030;EWC91158;KOB89067;XP_001351052;CAB63560;EWC79193;ETW39136;ETW32558;ETW20988;KOB61342,NA
685,NA,NA,NA,PF3D7_0113000.1-p1,673,,NA,,,1304176132;124505879;6594249,PKC48115;XP_001351053;CAB63561,NA
686,NA,NA,NA,PF3D7_0113200.1-p1,592,GO:0016021,1,integral component of membrane,Cellular Component,224591379;583229095;1304176074;296004494,EWC91160;PKC48057;XP_002808613;CAX51195,NA
687,NA,NA,NA,PF3D7_0113800.1-p1,2900,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,124505899;23476992;1304176065,PKC48048;CAD48949;XP_001351063,NA
